timestamp,human_readable_date,value,context
1580434060864,2020-01-31 06:57:40,0.0,b'{}'
1580434060862,2020-01-31 06:57:40,-2.5727052089511287e+38,b'{}'
1580433616530,2020-01-31 06:50:16,18.4,b'{}'
1580433614662,2020-01-31 06:50:14,-2.5727052089511287e+38,b'{}'
1580433614587,2020-01-31 06:50:14,0.0,b'{}'
1580433110216,2020-01-31 06:41:50,18.4,b'{}'
1580433108182,2020-01-31 06:41:48,-2.5727052089511287e+38,b'{}'
1580433108156,2020-01-31 06:41:48,0.0,b'{}'
1580433011306,2020-01-31 06:40:11,18.5,b'{}'
1580433009247,2020-01-31 06:40:09,0.0,b'{}'
1580433009233,2020-01-31 06:40:09,-2.5727052089511287e+38,b'{}'
1580432526234,2020-01-31 06:32:06,18.5,b'{}'
1580432524291,2020-01-31 06:32:04,0.0,b'{}'
1580432524255,2020-01-31 06:32:04,-2.5727052089511287e+38,b'{}'
1580432425825,2020-01-31 06:30:25,19.0,b'{}'
1580432423851,2020-01-31 06:30:23,-2.5727052089511287e+38,b'{}'
1580432423813,2020-01-31 06:30:23,0.0,b'{}'
1580431819767,2020-01-31 06:20:19,19.0,b'{}'
1580431817666,2020-01-31 06:20:17,-2.5727052089511287e+38,b'{}'
1580431817637,2020-01-31 06:20:17,0.0,b'{}'
1580431225515,2020-01-31 06:10:25,19.0,b'{}'
1580431223489,2020-01-31 06:10:23,0.0,b'{}'
1580431223483,2020-01-31 06:10:23,-2.5727052089511287e+38,b'{}'
1580430621438,2020-01-31 06:00:21,19.0,b'{}'
1580430619478,2020-01-31 06:00:19,-2.5727052089511287e+38,b'{}'
1580430619458,2020-01-31 06:00:19,0.0,b'{}'
1580430028830,2020-01-31 05:50:28,19.0,b'{}'
1580430026857,2020-01-31 05:50:26,-2.5727052089511287e+38,b'{}'
1580430026766,2020-01-31 05:50:26,0.0,b'{}'
1580428818095,2020-01-31 05:30:18,19.0,b'{}'
1580428816169,2020-01-31 05:30:16,-2.5727052089511287e+38,b'{}'
1580428816125,2020-01-31 05:30:16,0.0,b'{}'
1580428222791,2020-01-31 05:20:22,19.0,b'{}'
1580428220839,2020-01-31 05:20:20,-2.5727052089511287e+38,b'{}'
1580428220791,2020-01-31 05:20:20,0.0,b'{}'
1580427620579,2020-01-31 05:10:20,19.0,b'{}'
1580427618416,2020-01-31 05:10:18,0.0,b'{}'
1580427618398,2020-01-31 05:10:18,-2.5727052089511287e+38,b'{}'
1580426423937,2020-01-31 04:50:23,19.0,b'{}'
1580426421893,2020-01-31 04:50:21,-2.5727052089511287e+38,b'{}'
1580426421879,2020-01-31 04:50:21,0.0,b'{}'
1580425820840,2020-01-31 04:40:20,19.0,b'{}'
1580425818555,2020-01-31 04:40:18,-2.5727052089511287e+38,b'{}'
1580425818551,2020-01-31 04:40:18,0.0,b'{}'
1580425227965,2020-01-31 04:30:27,19.0,b'{}'
1580425226134,2020-01-31 04:30:26,-2.5727052089511287e+38,b'{}'
1580425226097,2020-01-31 04:30:26,0.0,b'{}'
1580424627937,2020-01-31 04:20:27,19.0,b'{}'
1580424625970,2020-01-31 04:20:25,0.0,b'{}'
1580424625914,2020-01-31 04:20:25,-2.5727052089511287e+38,b'{}'
